tensor,component,shard,dtype,shape,bytes,logical_group,quant_format,bits_per_weight,in_features,out_features,small_m_dispatch
model.language_model.layers.40.linear_attn.A_log,text,model-00001-of-00002.safetensors,BF16,48,96,,,,,,
model.language_model.layers.40.linear_attn.conv1d.weight,text,model-00001-of-00002.safetensors,BF16,10240x1x4,81920,,,,,,
model.language_model.layers.40.linear_attn.dt_bias,text,model-00001-of-00002.safetensors,BF16,48,96,,,,,,
model.language_model.layers.40.linear_attn.in_proj_a.weight,text,model-00001-of-00002.safetensors,F16,48x5120,491520,model.language_model.layers.40.linear_attn.in_proj_a,,,,,
model.language_model.layers.40.linear_attn.in_proj_b.weight,text,model-00001-of-00002.safetensors,F16,48x5120,491520,model.language_model.layers.40.linear_attn.in_proj_b,,,,,
model.language_model.layers.40.linear_attn.in_proj_qkv.mul1,text,model-00001-of-00002.safetensors,I32,,4,model.language_model.layers.40.linear_attn.in_proj_qkv,exl3,3,,,
model.language_model.layers.40.linear_attn.in_proj_qkv.suh,text,model-00001-of-00002.safetensors,F16,5120,10240,model.language_model.layers.40.linear_attn.in_proj_qkv,exl3,3,,,
model.language_model.layers.40.linear_attn.in_proj_qkv.svh,text,model-00001-of-00002.safetensors,F16,10240,20480,model.language_model.layers.40.linear_attn.in_proj_qkv,exl3,3,,,
model.language_model.layers.40.linear_attn.in_proj_qkv.trellis,text,model-00001-of-00002.safetensors,I16,320x640x48,19660800,model.language_model.layers.40.linear_attn.in_proj_qkv,exl3,3,5120,10240,hard-eligible; heuristic/SM-dependent
model.language_model.layers.40.linear_attn.in_proj_z.mul1,text,model-00001-of-00002.safetensors,I32,,4,model.language_model.layers.40.linear_attn.in_proj_z,exl3,3,,,
model.language_model.layers.40.linear_attn.in_proj_z.suh,text,model-00001-of-00002.safetensors,F16,5120,10240,model.language_model.layers.40.linear_attn.in_proj_z,exl3,3,,,
model.language_model.layers.40.linear_attn.in_proj_z.svh,text,model-00001-of-00002.safetensors,F16,6144,12288,model.language_model.layers.40.linear_attn.in_proj_z,exl3,3,,,
model.language_model.layers.40.linear_attn.in_proj_z.trellis,text,model-00001-of-00002.safetensors,I16,320x384x48,11796480,model.language_model.layers.40.linear_attn.in_proj_z,exl3,3,5120,6144,hard-eligible; heuristic/SM-dependent
model.language_model.layers.40.linear_attn.norm.weight,text,model-00001-of-00002.safetensors,BF16,128,256,model.language_model.layers.40.linear_attn.norm,,,,,
model.language_model.layers.40.linear_attn.out_proj.mul1,text,model-00001-of-00002.safetensors,I32,,4,model.language_model.layers.40.linear_attn.out_proj,exl3,3,,,
model.language_model.layers.40.linear_attn.out_proj.suh,text,model-00001-of-00002.safetensors,F16,6144,12288,model.language_model.layers.40.linear_attn.out_proj,exl3,3,,,
model.language_model.layers.40.linear_attn.out_proj.svh,text,model-00001-of-00002.safetensors,F16,5120,10240,model.language_model.layers.40.linear_attn.out_proj,exl3,3,,,
model.language_model.layers.40.linear_attn.out_proj.trellis,text,model-00001-of-00002.safetensors,I16,384x320x48,11796480,model.language_model.layers.40.linear_attn.out_proj,exl3,3,6144,5120,hard-eligible; heuristic/SM-dependent
model.language_model.layers.40.mlp.down_proj.mul1,text,model-00001-of-00002.safetensors,I32,,4,model.language_model.layers.40.mlp.down_proj,exl3,3,,,
model.language_model.layers.40.mlp.down_proj.suh,text,model-00001-of-00002.safetensors,F16,17408,34816,model.language_model.layers.40.mlp.down_proj,exl3,3,,,
model.language_model.layers.40.mlp.down_proj.svh,text,model-00001-of-00002.safetensors,F16,5120,10240,model.language_model.layers.40.mlp.down_proj,exl3,3,,,
model.language_model.layers.40.mlp.down_proj.trellis,text,model-00001-of-00002.safetensors,I16,1088x320x48,33423360,model.language_model.layers.40.mlp.down_proj,exl3,3,17408,5120,hard-eligible; heuristic/SM-dependent
model.language_model.layers.40.mlp.gate_proj.mul1,text,model-00001-of-00002.safetensors,I32,,4,model.language_model.layers.40.mlp.gate_proj,exl3,3,,,
model.language_model.layers.40.mlp.gate_proj.suh,text,model-00001-of-00002.safetensors,F16,5120,10240,model.language_model.layers.40.mlp.gate_proj,exl3,3,,,
model.language_model.layers.40.mlp.gate_proj.svh,text,model-00001-of-00002.safetensors,F16,17408,34816,model.language_model.layers.40.mlp.gate_proj,exl3,3,,,
model.language_model.layers.40.mlp.gate_proj.trellis,text,model-00001-of-00002.safetensors,I16,320x1088x48,33423360,model.language_model.layers.40.mlp.gate_proj,exl3,3,5120,17408,hard-eligible; heuristic/SM-dependent
model.language_model.layers.40.mlp.up_proj.mul1,text,model-00001-of-00002.safetensors,I32,,4,model.language_model.layers.40.mlp.up_proj,exl3,3,,,
model.language_model.layers.40.mlp.up_proj.suh,text,model-00001-of-00002.safetensors,F16,5120,10240,model.language_model.layers.40.mlp.up_proj,exl3,3,,,
model.language_model.layers.40.mlp.up_proj.svh,text,model-00001-of-00002.safetensors,F16,17408,34816,model.language_model.layers.40.mlp.up_proj,exl3,3,,,
model.language_model.layers.40.mlp.up_proj.trellis,text,model-00001-of-00002.safetensors,I16,320x1088x48,33423360,model.language_model.layers.40.mlp.up_proj,exl3,3,5120,17408,hard-eligible; heuristic/SM-dependent
model.language_model.layers.40.post_attention_layernorm.weight,text,model-00001-of-00002.safetensors,BF16,5120,10240,model.language_model.layers.40.post_attention_layernorm,,,,,
model.language_model.layers.41.input_layernorm.weight,text,model-00001-of-00002.safetensors,BF16,5120,10240,model.language_model.layers.41.input_layernorm,,,,,
model.language_model.layers.41.linear_attn.A_log,text,model-00001-of-00002.safetensors,BF16,48,96,,,,,,
model.language_model.layers.41.linear_attn.conv1d.weight,text,model-00001-of-00002.safetensors,BF16,10240x1x4,81920,,,,,,
model.language_model.layers.41.linear_attn.dt_bias,text,model-00001-of-00002.safetensors,BF16,48,96,,,,,,
model.language_model.layers.41.linear_attn.in_proj_a.weight,text,model-00001-of-00002.safetensors,F16,48x5120,491520,model.language_model.layers.41.linear_attn.in_proj_a,,,,,
model.language_model.layers.41.linear_attn.in_proj_b.weight,text,model-00001-of-00002.safetensors,F16,48x5120,491520,model.language_model.layers.41.linear_attn.in_proj_b,,,,,
model.language_model.layers.41.linear_attn.in_proj_qkv.mul1,text,model-00001-of-00002.safetensors,I32,,4,model.language_model.layers.41.linear_attn.in_proj_qkv,exl3,3,,,
model.language_model.layers.41.linear_attn.in_proj_qkv.suh,text,model-00001-of-00002.safetensors,F16,5120,10240,model.language_model.layers.41.linear_attn.in_proj_qkv,exl3,3,,,
model.language_model.layers.41.linear_attn.in_proj_qkv.svh,text,model-00001-of-00002.safetensors,F16,10240,20480,model.language_model.layers.41.linear_attn.in_proj_qkv,exl3,3,,,
model.language_model.layers.41.linear_attn.in_proj_qkv.trellis,text,model-00001-of-00002.safetensors,I16,320x640x48,19660800,model.language_model.layers.41.linear_attn.in_proj_qkv,exl3,3,5120,10240,hard-eligible; heuristic/SM-dependent
model.language_model.layers.41.linear_attn.in_proj_z.mul1,text,model-00001-of-00002.safetensors,I32,,4,model.language_model.layers.41.linear_attn.in_proj_z,exl3,3,,,
model.language_model.layers.41.linear_attn.in_proj_z.suh,text,model-00001-of-00002.safetensors,F16,5120,10240,model.language_model.layers.41.linear_attn.in_proj_z,exl3,3,,,
model.language_model.layers.41.linear_attn.in_proj_z.svh,text,model-00001-of-00002.safetensors,F16,6144,12288,model.language_model.layers.41.linear_attn.in_proj_z,exl3,3,,,
model.language_model.layers.41.linear_attn.in_proj_z.trellis,text,model-00001-of-00002.safetensors,I16,320x384x48,11796480,model.language_model.layers.41.linear_attn.in_proj_z,exl3,3,5120,6144,hard-eligible; heuristic/SM-dependent
model.language_model.layers.41.linear_attn.norm.weight,text,model-00001-of-00002.safetensors,BF16,128,256,model.language_model.layers.41.linear_attn.norm,,,,,
model.language_model.layers.41.linear_attn.out_proj.mul1,text,model-00001-of-00002.safetensors,I32,,4,model.language_model.layers.41.linear_attn.out_proj,exl3,3,,,
model.language_model.layers.41.linear_attn.out_proj.suh,text,model-00001-of-00002.safetensors,F16,6144,12288,model.language_model.layers.41.linear_attn.out_proj,exl3,3,,,
model.language_model.layers.41.linear_attn.out_proj.svh,text,model-00001-of-00002.safetensors,F16,5120,10240,model.language_model.layers.41.linear_attn.out_proj,exl3,3,,,
model.language_model.layers.41.linear_attn.out_proj.trellis,text,model-00001-of-00002.safetensors,I16,384x320x48,11796480,model.language_model.layers.41.linear_attn.out_proj,exl3,3,6144,5120,hard-eligible; heuristic/SM-dependent
model.language_model.layers.41.mlp.down_proj.mul1,text,model-00001-of-00002.safetensors,I32,,4,model.language_model.layers.41.mlp.down_proj,exl3,3,,,
model.language_model.layers.41.mlp.down_proj.suh,text,model-00001-of-00002.safetensors,F16,17408,34816,model.language_model.layers.41.mlp.down_proj,exl3,3,,,
model.language_model.layers.41.mlp.down_proj.svh,text,model-00001-of-00002.safetensors,F16,5120,10240,model.language_model.layers.41.mlp.down_proj,exl3,3,,,
model.language_model.layers.41.mlp.down_proj.trellis,text,model-00001-of-00002.safetensors,I16,1088x320x48,33423360,model.language_model.layers.41.mlp.down_proj,exl3,3,17408,5120,hard-eligible; heuristic/SM-dependent
model.language_model.layers.41.mlp.gate_proj.mul1,text,model-00001-of-00002.safetensors,I32,,4,model.language_model.layers.41.mlp.gate_proj,exl3,3,,,
model.language_model.layers.41.mlp.gate_proj.suh,text,model-00001-of-00002.safetensors,F16,5120,10240,model.language_model.layers.41.mlp.gate_proj,exl3,3,,,
model.language_model.layers.41.mlp.gate_proj.svh,text,model-00001-of-00002.safetensors,F16,17408,34816,model.language_model.layers.41.mlp.gate_proj,exl3,3,,,
model.language_model.layers.41.mlp.gate_proj.trellis,text,model-00001-of-00002.safetensors,I16,320x1088x48,33423360,model.language_model.layers.41.mlp.gate_proj,exl3,3,5120,17408,hard-eligible; heuristic/SM-dependent
model.language_model.layers.41.mlp.up_proj.mul1,text,model-00001-of-00002.safetensors,I32,,4,model.language_model.layers.41.mlp.up_proj,exl3,3,,,
model.language_model.layers.41.mlp.up_proj.suh,text,model-00001-of-00002.safetensors,F16,5120,10240,model.language_model.layers.41.mlp.up_proj,exl3,3,,,
model.language_model.layers.41.mlp.up_proj.svh,text,model-00001-of-00002.safetensors,F16,17408,34816,model.language_model.layers.41.mlp.up_proj,exl3,3,,,
model.language_model.layers.41.mlp.up_proj.trellis,text,model-00001-of-00002.safetensors,I16,320x1088x48,33423360,model.language_model.layers.41.mlp.up_proj,exl3,3,5120,17408,hard-eligible; heuristic/SM-dependent
model.language_model.layers.41.post_attention_layernorm.weight,text,model-00001-of-00002.safetensors,BF16,5120,10240,model.language_model.layers.41.post_attention_layernorm,,,,,
model.language_model.layers.42.input_layernorm.weight,text,model-00001-of-00002.safetensors,BF16,5120,10240,model.language_model.layers.42.input_layernorm,,,,,
model.language_model.layers.42.linear_attn.A_log,text,model-00001-of-00002.safetensors,BF16,48,96,,,,,,
model.language_model.layers.42.linear_attn.conv1d.weight,text,model-00001-of-00002.safetensors,BF16,10240x1x4,81920,,,,,,
model.language_model.layers.42.linear_attn.dt_bias,text,model-00001-of-00002.safetensors,BF16,48,96,,,,,,
model.language_model.layers.42.linear_attn.in_proj_a.weight,text,model-00001-of-00002.safetensors,F16,48x5120,491520,model.language_model.layers.42.linear_attn.in_proj_a,,,,,
model.language_model.layers.42.linear_attn.in_proj_b.weight,text,model-00001-of-00002.safetensors,F16,48x5120,491520,model.language_model.layers.42.linear_attn.in_proj_b,,,,,
model.language_model.layers.42.linear_attn.in_proj_qkv.mul1,text,model-00001-of-00002.safetensors,I32,,4,model.language_model.layers.42.linear_attn.in_proj_qkv,exl3,3,,,
model.language_model.layers.42.linear_attn.in_proj_qkv.suh,text,model-00001-of-00002.safetensors,F16,5120,10240,model.language_model.layers.42.linear_attn.in_proj_qkv,exl3,3,,,
model.language_model.layers.42.linear_attn.in_proj_qkv.svh,text,model-00001-of-00002.safetensors,F16,10240,20480,model.language_model.layers.42.linear_attn.in_proj_qkv,exl3,3,,,
model.language_model.layers.42.linear_attn.in_proj_qkv.trellis,text,model-00001-of-00002.safetensors,I16,320x640x48,19660800,model.language_model.layers.42.linear_attn.in_proj_qkv,exl3,3,5120,10240,hard-eligible; heuristic/SM-dependent
model.language_model.layers.42.linear_attn.in_proj_z.mul1,text,model-00001-of-00002.safetensors,I32,,4,model.language_model.layers.42.linear_attn.in_proj_z,exl3,3,,,
model.language_model.layers.42.linear_attn.in_proj_z.suh,text,model-00001-of-00002.safetensors,F16,5120,10240,model.language_model.layers.42.linear_attn.in_proj_z,exl3,3,,,
model.language_model.layers.42.linear_attn.in_proj_z.svh,text,model-00001-of-00002.safetensors,F16,6144,12288,model.language_model.layers.42.linear_attn.in_proj_z,exl3,3,,,
model.language_model.layers.42.linear_attn.in_proj_z.trellis,text,model-00001-of-00002.safetensors,I16,320x384x48,11796480,model.language_model.layers.42.linear_attn.in_proj_z,exl3,3,5120,6144,hard-eligible; heuristic/SM-dependent
model.language_model.layers.42.linear_attn.norm.weight,text,model-00001-of-00002.safetensors,BF16,128,256,model.language_model.layers.42.linear_attn.norm,,,,,
model.language_model.layers.42.linear_attn.out_proj.mul1,text,model-00001-of-00002.safetensors,I32,,4,model.language_model.layers.42.linear_attn.out_proj,exl3,3,,,
model.language_model.layers.42.linear_attn.out_proj.suh,text,model-00001-of-00002.safetensors,F16,6144,12288,model.language_model.layers.42.linear_attn.out_proj,exl3,3,,,
model.language_model.layers.42.linear_attn.out_proj.svh,text,model-00001-of-00002.safetensors,F16,5120,10240,model.language_model.layers.42.linear_attn.out_proj,exl3,3,,,
model.language_model.layers.42.linear_attn.out_proj.trellis,text,model-00001-of-00002.safetensors,I16,384x320x48,11796480,model.language_model.layers.42.linear_attn.out_proj,exl3,3,6144,5120,hard-eligible; heuristic/SM-dependent
model.language_model.layers.42.mlp.down_proj.mul1,text,model-00001-of-00002.safetensors,I32,,4,model.language_model.layers.42.mlp.down_proj,exl3,3,,,
model.language_model.layers.42.mlp.down_proj.suh,text,model-00001-of-00002.safetensors,F16,17408,34816,model.language_model.layers.42.mlp.down_proj,exl3,3,,,
model.language_model.layers.42.mlp.down_proj.svh,text,model-00001-of-00002.safetensors,F16,5120,10240,model.language_model.layers.42.mlp.down_proj,exl3,3,,,
model.language_model.layers.42.mlp.down_proj.trellis,text,model-00001-of-00002.safetensors,I16,1088x320x48,33423360,model.language_model.layers.42.mlp.down_proj,exl3,3,17408,5120,hard-eligible; heuristic/SM-dependent
model.language_model.layers.42.mlp.gate_proj.mul1,text,model-00001-of-00002.safetensors,I32,,4,model.language_model.layers.42.mlp.gate_proj,exl3,3,,,
model.language_model.layers.42.mlp.gate_proj.suh,text,model-00001-of-00002.safetensors,F16,5120,10240,model.language_model.layers.42.mlp.gate_proj,exl3,3,,,
model.language_model.layers.42.mlp.gate_proj.svh,text,model-00001-of-00002.safetensors,F16,17408,34816,model.language_model.layers.42.mlp.gate_proj,exl3,3,,,
model.language_model.layers.42.mlp.gate_proj.trellis,text,model-00001-of-00002.safetensors,I16,320x1088x48,33423360,model.language_model.layers.42.mlp.gate_proj,exl3,3,5120,17408,hard-eligible; heuristic/SM-dependent
model.language_model.layers.42.mlp.up_proj.mul1,text,model-00001-of-00002.safetensors,I32,,4,model.language_model.layers.42.mlp.up_proj,exl3,3,,,
model.language_model.layers.42.mlp.up_proj.suh,text,model-00001-of-00002.safetensors,F16,5120,10240,model.language_model.layers.42.mlp.up_proj,exl3,3,,,
model.language_model.layers.42.mlp.up_proj.svh,text,model-00001-of-00002.safetensors,F16,17408,34816,model.language_model.layers.42.mlp.up_proj,exl3,3,,,
model.language_model.layers.42.mlp.up_proj.trellis,text,model-00001-of-00002.safetensors,I16,320x1088x48,33423360,model.language_model.layers.42.mlp.up_proj,exl3,3,5120,17408,hard-eligible; heuristic/SM-dependent
model.language_model.layers.42.post_attention_layernorm.weight,text,model-00001-of-00002.safetensors,BF16,5120,10240,model.language_model.layers.42.post_attention_layernorm,,,,,
model.language_model.layers.43.input_layernorm.weight,text,model-00002-of-00002.safetensors,BF16,5120,10240,model.language_model.layers.43.input_layernorm,,,,,
model.language_model.layers.43.mlp.down_proj.mul1,text,model-00002-of-00002.safetensors,I32,,4,model.language_model.layers.43.mlp.down_proj,exl3,3,,,
model.language_model.layers.43.mlp.down_proj.suh,text,model-00002-of-00002.safetensors,F16,17408,34816,model.language_model.layers.43.mlp.down_proj,exl3,3,,,
model.language_model.layers.43.mlp.down_proj.svh,text,model-00002-of-00002.safetensors,F16,5120,10240,model.language_model.layers.43.mlp.down_proj,exl3,3,,,
model.language_model.layers.43.mlp.down_proj.trellis,text,model-00002-of-00002.safetensors,I16,1088x320x48,33423360,model.language_model.layers.43.mlp.down_proj,exl3,3,17408,5120,hard-eligible; heuristic/SM-dependent
model.language_model.layers.43.mlp.gate_proj.mul1,text,model-00002-of-00002.safetensors,I32,,4,model.language_model.layers.43.mlp.gate_proj,exl3,3,,,
model.language_model.layers.43.mlp.gate_proj.suh,text,model-00002-of-00002.safetensors,F16,5120,10240,model.language_model.layers.43.mlp.gate_proj,exl3,3,,,
model.language_model.layers.43.mlp.gate_proj.svh,text,model-00002-of-00002.safetensors,F16,17408,34816,model.language_model.layers.43.mlp.gate_proj,exl3,3,,,
model.language_model.layers.43.mlp.gate_proj.trellis,text,model-00002-of-00002.safetensors,I16,320x1088x48,33423360,model.language_model.layers.43.mlp.gate_proj,exl3,3,5120,17408,hard-eligible; heuristic/SM-dependent
model.language_model.layers.43.mlp.up_proj.mul1,text,model-00002-of-00002.safetensors,I32,,4,model.language_model.layers.43.mlp.up_proj,exl3,3,,,
model.language_model.layers.43.mlp.up_proj.suh,text,model-00002-of-00002.safetensors,F16,5120,10240,model.language_model.layers.43.mlp.up_proj,exl3,3,,,
model.language_model.layers.43.mlp.up_proj.svh,text,model-00002-of-00002.safetensors,F16,17408,34816,model.language_model.layers.43.mlp.up_proj,exl3,3,,,
model.language_model.layers.43.mlp.up_proj.trellis,text,model-00002-of-00002.safetensors,I16,320x1088x48,33423360,model.language_model.layers.43.mlp.up_proj,exl3,3,5120,17408,hard-eligible; heuristic/SM-dependent
model.language_model.layers.43.post_attention_layernorm.weight,text,model-00002-of-00002.safetensors,BF16,5120,10240,model.language_model.layers.43.post_attention_layernorm,,,,,
model.language_model.layers.43.self_attn.k_norm.weight,text,model-00002-of-00002.safetensors,BF16,256,512,model.language_model.layers.43.self_attn.k_norm,,,,,
model.language_model.layers.43.self_attn.k_proj.mul1,text,model-00002-of-00002.safetensors,I32,,4,model.language_model.layers.43.self_attn.k_proj,exl3,4,,,
model.language_model.layers.43.self_attn.k_proj.suh,text,model-00002-of-00002.safetensors,F16,5120,10240,model.language_model.layers.43.self_attn.k_proj,exl3,4,,,
model.language_model.layers.43.self_attn.k_proj.svh,text,model-00002-of-00002.safetensors,F16,1024,2048,model.language_model.layers.43.self_attn.k_proj,exl3,4,,,
model.language_model.layers.43.self_attn.k_proj.trellis,text,model-00002-of-00002.safetensors,I16,320x64x64,2621440,model.language_model.layers.43.self_attn.k_proj,exl3,4,5120,1024,hard-eligible; heuristic/SM-dependent
model.language_model.layers.43.self_attn.o_proj.mul1,text,model-00002-of-00002.safetensors,I32,,4,model.language_model.layers.43.self_attn.o_proj,exl3,3,,,
model.language_model.layers.43.self_attn.o_proj.suh,text,model-00002-of-00002.safetensors,F16,6144,12288,model.language_model.layers.43.self_attn.o_proj,exl3,3,,,
model.language_model.layers.43.self_attn.o_proj.svh,text,model-00002-of-00002.safetensors,F16,5120,10240,model.language_model.layers.43.self_attn.o_proj,exl3,3,,,
model.language_model.layers.43.self_attn.o_proj.trellis,text,model-00002-of-00002.safetensors,I16,384x320x48,11796480,model.language_model.layers.43.self_attn.o_proj,exl3,3,6144,5120,hard-eligible; heuristic/SM-dependent
model.language_model.layers.43.self_attn.q_norm.weight,text,model-00002-of-00002.safetensors,BF16,256,512,model.language_model.layers.43.self_attn.q_norm,,,,,
model.language_model.layers.43.self_attn.q_proj.mul1,text,model-00002-of-00002.safetensors,I32,,4,model.language_model.layers.43.self_attn.q_proj,exl3,3,,,
model.language_model.layers.43.self_attn.q_proj.suh,text,model-00002-of-00002.safetensors,F16,5120,10240,model.language_model.layers.43.self_attn.q_proj,exl3,3,,,
model.language_model.layers.43.self_attn.q_proj.svh,text,model-00002-of-00002.safetensors,F16,12288,24576,model.language_model.layers.43.self_attn.q_proj,exl3,3,,,
model.language_model.layers.43.self_attn.q_proj.trellis,text,model-00002-of-00002.safetensors,I16,320x768x48,23592960,model.language_model.layers.43.self_attn.q_proj,exl3,3,5120,12288,hard-eligible; heuristic/SM-dependent
model.language_model.layers.43.self_attn.v_proj.mul1,text,model-00002-of-00002.safetensors,I32,,4,model.language_model.layers.43.self_attn.v_proj,exl3,4,,,
model.language_model.layers.43.self_attn.v_proj.suh,text,model-00002-of-00002.safetensors,F16,5120,10240,model.language_model.layers.43.self_attn.v_proj,exl3,4,,,
model.language_model.layers.43.self_attn.v_proj.svh,text,model-00002-of-00002.safetensors,F16,1024,2048,model.language_model.layers.43.self_attn.v_proj,exl3,4,,,
model.language_model.layers.43.self_attn.v_proj.trellis,text,model-00002-of-00002.safetensors,I16,320x64x64,2621440,model.language_model.layers.43.self_attn.v_proj,exl3,4,5120,1024,hard-eligible; heuristic/SM-dependent
model.language_model.layers.44.input_layernorm.weight,text,model-00002-of-00002.safetensors,BF16,5120,10240,model.language_model.layers.44.input_layernorm,,,,,
model.language_model.layers.44.linear_attn.A_log,text,model-00002-of-00002.safetensors,BF16,48,96,,,,,,
model.language_model.layers.44.linear_attn.conv1d.weight,text,model-00002-of-00002.safetensors,BF16,10240x1x4,81920,,,,,,
model.language_model.layers.44.linear_attn.dt_bias,text,model-00002-of-00002.safetensors,BF16,48,96,,,,,,
model.language_model.layers.44.linear_attn.in_proj_a.weight,text,model-00002-of-00002.safetensors,F16,48x5120,491520,model.language_model.layers.44.linear_attn.in_proj_a,,,,,
model.language_model.layers.44.linear_attn.in_proj_b.weight,text,model-00002-of-00002.safetensors,F16,48x5120,491520,model.language_model.layers.44.linear_attn.in_proj_b,,,,,
model.language_model.layers.44.linear_attn.in_proj_qkv.mul1,text,model-00002-of-00002.safetensors,I32,,4,model.language_model.layers.44.linear_attn.in_proj_qkv,exl3,3,,,
model.language_model.layers.44.linear_attn.in_proj_qkv.suh,text,model-00002-of-00002.safetensors,F16,5120,10240,model.language_model.layers.44.linear_attn.in_proj_qkv,exl3,3,,,
model.language_model.layers.44.linear_attn.in_proj_qkv.svh,text,model-00002-of-00002.safetensors,F16,10240,20480,model.language_model.layers.44.linear_attn.in_proj_qkv,exl3,3,,,
model.language_model.layers.44.linear_attn.in_proj_qkv.trellis,text,model-00002-of-00002.safetensors,I16,320x640x48,19660800,model.language_model.layers.44.linear_attn.in_proj_qkv,exl3,3,5120,10240,hard-eligible; heuristic/SM-dependent
model.language_model.layers.44.linear_attn.in_proj_z.mul1,text,model-00002-of-00002.safetensors,I32,,4,model.language_model.layers.44.linear_attn.in_proj_z,exl3,3,,,
model.language_model.layers.44.linear_attn.in_proj_z.suh,text,model-00002-of-00002.safetensors,F16,5120,10240,model.language_model.layers.44.linear_attn.in_proj_z,exl3,3,,,
model.language_model.layers.44.linear_attn.in_proj_z.svh,text,model-00002-of-00002.safetensors,F16,6144,12288,model.language_model.layers.44.linear_attn.in_proj_z,exl3,3,,,
model.language_model.layers.44.linear_attn.in_proj_z.trellis,text,model-00002-of-00002.safetensors,I16,320x384x48,11796480,model.language_model.layers.44.linear_attn.in_proj_z,exl3,3,5120,6144,hard-eligible; heuristic/SM-dependent
model.language_model.layers.44.linear_attn.norm.weight,text,model-00002-of-00002.safetensors,BF16,128,256,model.language_model.layers.44.linear_attn.norm,,,,,
model.language_model.layers.44.linear_attn.out_proj.mul1,text,model-00002-of-00002.safetensors,I32,,4,model.language_model.layers.44.linear_attn.out_proj,exl3,3,,,
model.language_model.layers.44.linear_attn.out_proj.suh,text,model-00002-of-00002.safetensors,F16,6144,12288,model.language_model.layers.44.linear_attn.out_proj,exl3,3,,,
model.language_model.layers.44.linear_attn.out_proj.svh,text,model-00002-of-00002.safetensors,F16,5120,10240,model.language_model.layers.44.linear_attn.out_proj,exl3,3,,,
model.language_model.layers.44.linear_attn.out_proj.trellis,text,model-00002-of-00002.safetensors,I16,384x320x48,11796480,model.language_model.layers.44.linear_attn.out_proj,exl3,3,6144,5120,hard-eligible; heuristic/SM-dependent
model.language_model.layers.44.mlp.down_proj.mul1,text,model-00002-of-00002.safetensors,I32,,4,model.language_model.layers.44.mlp.down_proj,exl3,3,,,
model.language_model.layers.44.mlp.down_proj.suh,text,model-00002-of-00002.safetensors,F16,17408,34816,model.language_model.layers.44.mlp.down_proj,exl3,3,,,
model.language_model.layers.44.mlp.down_proj.svh,text,model-00002-of-00002.safetensors,F16,5120,10240,model.language_model.layers.44.mlp.down_proj,exl3,3,,,
model.language_model.layers.44.mlp.down_proj.trellis,text,model-00002-of-00002.safetensors,I16,1088x320x48,33423360,model.language_model.layers.44.mlp.down_proj,exl3,3,17408,5120,hard-eligible; heuristic/SM-dependent
model.language_model.layers.44.mlp.gate_proj.mul1,text,model-00002-of-00002.safetensors,I32,,4,model.language_model.layers.44.mlp.gate_proj,exl3,3,,,
model.language_model.layers.44.mlp.gate_proj.suh,text,model-00002-of-00002.safetensors,F16,5120,10240,model.language_model.layers.44.mlp.gate_proj,exl3,3,,,
model.language_model.layers.44.mlp.gate_proj.svh,text,model-00002-of-00002.safetensors,F16,17408,34816,model.language_model.layers.44.mlp.gate_proj,exl3,3,,,
model.language_model.layers.44.mlp.gate_proj.trellis,text,model-00002-of-00002.safetensors,I16,320x1088x48,33423360,model.language_model.layers.44.mlp.gate_proj,exl3,3,5120,17408,hard-eligible; heuristic/SM-dependent
model.language_model.layers.44.mlp.up_proj.mul1,text,model-00002-of-00002.safetensors,I32,,4,model.language_model.layers.44.mlp.up_proj,exl3,3,,,
model.language_model.layers.44.mlp.up_proj.suh,text,model-00002-of-00002.safetensors,F16,5120,10240,model.language_model.layers.44.mlp.up_proj,exl3,3,,,
model.language_model.layers.44.mlp.up_proj.svh,text,model-00002-of-00002.safetensors,F16,17408,34816,model.language_model.layers.44.mlp.up_proj,exl3,3,,,
model.language_model.layers.44.mlp.up_proj.trellis,text,model-00002-of-00002.safetensors,I16,320x1088x48,33423360,model.language_model.layers.44.mlp.up_proj,exl3,3,5120,17408,hard-eligible; heuristic/SM-dependent
model.language_model.layers.44.post_attention_layernorm.weight,text,model-00002-of-00002.safetensors,BF16,5120,10240,model.language_model.layers.44.post_attention_layernorm,,,,,
model.language_model.layers.45.input_layernorm.weight,text,model-00002-of-00002.safetensors,BF16,5120,10240,model.language_model.layers.45.input_layernorm,,,,,
model.language_model.layers.45.linear_attn.A_log,text,model-00002-of-00002.safetensors,BF16,48,96,,,,,,
model.language_model.layers.45.linear_attn.conv1d.weight,text,model-00002-of-00002.safetensors,BF16,10240x1x4,81920,,,,,,
model.language_model.layers.45.linear_attn.dt_bias,text,model-00002-of-00002.safetensors,BF16,48,96,,,,,,
model.language_model.layers.45.linear_attn.in_proj_a.weight,text,model-00002-of-00002.safetensors,F16,48x5120,491520,model.language_model.layers.45.linear_attn.in_proj_a,,,,,
model.language_model.layers.45.linear_attn.in_proj_b.weight,text,model-00002-of-00002.safetensors,F16,48x5120,491520,model.language_model.layers.45.linear_attn.in_proj_b,,,,,
model.language_model.layers.45.linear_attn.in_proj_qkv.mul1,text,model-00002-of-00002.safetensors,I32,,4,model.language_model.layers.45.linear_attn.in_proj_qkv,exl3,2,,,
